playerid,Player,K,HB,D,M,G,B,T,HO,GA,I50,CL,CG,R50,FF,FA,AF,SC,fixture_id
847,Nathan Murphy,7,3,10,1,0,0,3,0,0,0,0,3,1,3,1,42,68,20
848,Bobby Hill,6,3,9,2,1,1,2,0,1,3,0,4,1,0,1,42,43,20
849,Darcy Moore,5,2,7,2,0,0,2,0,0,0,0,2,3,1,1,31,45,20
850,Will H-Elliott,3,2,5,1,0,0,2,0,0,1,1,0,0,0,0,24,30,20
851,Josh Carmichael↙,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,8,15,20
852,Liam Baker,17,15,32,6,0,0,4,0,0,3,1,3,10,1,2,110,143,20
853,Tim Taranto,16,13,29,5,0,1,6,0,1,3,9,2,3,0,1,111,112,20
854,Daniel Rioli,19,6,25,6,0,0,2,0,0,3,1,7,4,2,0,97,56,20
855,Trent Cotchin,14,9,23,4,0,0,3,0,0,4,5,3,3,2,2,80,81,20
856,Jack Ross,11,12,23,8,1,0,2,0,0,0,3,3,2,1,0,96,86,20
857,Shai Bolton,12,10,22,1,1,0,4,0,0,2,4,3,0,0,0,81,94,20
858,Dion Prestia,12,8,20,4,0,0,7,0,1,2,1,3,1,2,0,94,99,20
859,Nick Vlastuin,16,4,20,6,0,0,2,0,0,1,2,2,10,0,0,82,102,20
860,Toby Nankervis,8,12,20,2,0,0,7,39,0,2,7,4,0,2,1,120,124,20
861,Kamdyn Mcintosh,17,2,19,5,0,1,1,0,0,2,1,4,3,1,2,70,69,20
862,Marlion Pickett,6,13,19,5,0,0,2,0,1,0,2,2,1,1,0,68,73,20
863,Jack Graham,4,10,14,1,0,0,4,0,0,2,1,5,0,0,3,42,34,20
864,Hugo Ralphsmith,8,4,12,4,0,0,0,0,0,2,0,0,3,0,0,44,53,20
865,Judson Clarke,6,6,12,1,1,0,1,0,0,2,1,1,0,3,0,46,59,20
866,Dylan Grimes,10,1,11,1,0,0,3,0,0,0,1,4,2,5,2,46,50,20
867,Noah Balta,11,0,11,6,0,0,2,0,0,0,0,5,4,0,2,53,46,20
